,Time,Object id,Class_type,Class-likelihood,X,Y
711,2023-04-09T22:28:11.991000,288,Person,0.17000000178813934,604,111
712,2023-04-09T22:28:12.331000,288,Person,0.17000000178813934,604,111
713,2023-04-09T22:28:15.332000,289,Person,0.15000000596046448,605,112
714,2023-04-09T22:28:15.662000,289,Person,0.15000000596046448,605,112
715,2023-04-09T22:28:15.992000,289,Person,0.15000000596046448,605,112
716,2023-04-09T22:28:19.662000,290,Person,0.15000000596046448,605,111
717,2023-04-09T22:28:19.992000,290,Person,0.15000000596046448,605,111
718,2023-04-09T22:28:20.331000,290,Person,0.15000000596046448,605,111
719,2023-04-09T22:28:32.662000,291,Person,0.17000000178813934,605,112
720,2023-04-09T22:28:32.992000,291,Person,0.17000000178813934,605,112
721,2023-04-09T22:28:33.332000,291,Person,0.17000000178813934,605,112
722,2023-04-09T22:28:38.662000,292,Person,0.1599999964237213,605,111
723,2023-04-09T22:28:38.992000,292,Person,0.23000000417232513,604,111
724,2023-04-09T22:28:39.332000,292,Person,0.23000000417232513,604,111
725,2023-04-09T22:28:39.662000,292,Person,0.17000000178813934,605,111
726,2023-04-09T22:28:39.992000,292,Person,0.15000000596046448,604,111
727,2023-04-09T22:28:40.332000,292,Person,0.15000000596046448,604,111
728,2023-04-09T22:28:40.662000,292,Person,0.15000000596046448,604,111
729,2023-04-09T22:28:40.992000,292,Person,0.15000000596046448,604,111
730,2023-04-09T22:28:44.662000,293,Person,0.18000000715255737,604,111
731,2023-04-09T22:28:44.992000,293,Person,0.18000000715255737,604,111
732,2023-04-09T22:28:45.332000,293,Person,0.18000000715255737,604,111
733,2023-04-09T22:28:49.992000,294,Person,0.1599999964237213,605,112
734,2023-04-09T22:28:50.333000,294,Person,0.1599999964237213,605,112
735,2023-04-09T22:28:50.663000,294,Person,0.1599999964237213,605,112
736,2023-04-09T22:28:52.993000,295,Person,0.17000000178813934,604,111
737,2023-04-09T22:28:53.333000,295,Person,0.17000000178813934,604,111
738,2023-04-09T22:28:53.663000,295,Person,0.17000000178813934,605,112
739,2023-04-09T22:28:53.993000,295,Person,0.17000000178813934,605,112
740,2023-04-09T22:28:54.333000,295,Person,0.1899999976158142,605,111
741,2023-04-09T22:28:54.663000,295,Person,0.1899999976158142,605,111
742,2023-04-09T22:28:54.993000,295,Person,0.20000000298023224,605,112
743,2023-04-09T22:28:55.332000,295,Person,0.20000000298023224,605,112
744,2023-04-09T22:28:55.662000,295,Person,0.1899999976158142,605,112
745,2023-04-09T22:28:55.992000,295,Person,0.1899999976158142,605,112
746,2023-04-09T22:28:56.332000,295,Person,0.1899999976158142,605,111
747,2023-04-09T22:28:56.662000,295,Person,0.2199999988079071,604,111
748,2023-04-09T22:28:56.992000,295,Person,0.2199999988079071,604,111
749,2023-04-09T22:28:57.332000,295,Person,0.2199999988079071,604,111
750,2023-04-09T22:28:57.662000,295,Person,0.15000000596046448,604,111
751,2023-04-09T22:28:57.992000,295,Person,0.15000000596046448,604,111
752,2023-04-09T22:28:58.332000,295,Person,0.15000000596046448,604,111
753,2023-04-09T22:28:59.332000,296,Person,0.15000000596046448,604,111
754,2023-04-09T22:28:59.662000,296,Person,0.20999999344348907,605,111
755,2023-04-09T22:28:59.992000,296,Person,0.1899999976158142,604,112
756,2023-04-09T22:29:00.331000,296,Person,0.17000000178813934,604,111
757,2023-04-09T22:29:00.661000,296,Person,0.2800000011920929,605,111
